INPUT_ID,SYMBOL,NAME,PRICE(USD)
1,SHIB,Shiba Inu,0.0000087603484829
8928,XEC,eCash,0.0000273390945794
9541,HOT,Holo,0.0014672767271344
9656,VET,VeChain,0.0181717989576146
4383,ZIL,Zilliqa,0.0197196811490860
6172,RVN,Ravencoin,0.0205295450963173
1283,XDC,XinFin Network,0.0222995891228793
7356,IOTX,IoTeX,0.0230695178574041
2604,CSPR,Casper,0.0289667241534058
3545,XEM,NEM,0.0301874218468669
9271,HBAR,Hedera Hashgraph,0.0437011399913198
6662,ROSE,Oasis Network,0.0438181352424796
9468,TRX,TRON,0.0506486446415792
7848,CRO,Crypto.com Coin,0.0574083179068203
8083,GRT,The Graph,0.0592595588427585
4656,DOGE,Dogecoin,0.0818613587057328
5382,XLM,Stellar,0.0850687824013715
3032,KLAY,Klaytn,0.1651762228164721
7987,FTM,Fantom,0.1709959829894615
5984,CHZ,Chiliz,0.1818878501223301
4661,STX,Stacks,0.2044045082509038
715,MIOTA,IOTA,0.2066461983924123
6122,BAT,Basic Attention Token,0.2138042229839907
5847,LRC,Loopring,0.2384065865332156
1318,ALGO,Algorand,0.2438087519463106
8926,ENJ,Enjin Coin,0.2999854570341635
1175,ADA,Cardano,0.3207013107604301
3725,XRP,XRP,0.3325067426979224
2590,MANA,Decentraland,0.4220689255205214
6860,DFI,DeFiChain,0.4475237590369678
1683,1INCH,1inch Network,0.4949237248003816
8443,MINA,Mina,0.5151594434478060
6603,SAND,The Sandbox,0.5652196932484423
5428,CRV,Curve DAO Token,0.5956341459948403
3412,NEXO,Nexo,0.6596677876450033
6655,THETA,THETA,0.8530674182997698
1879,EOS,EOS,0.8570755319696094
1200,MATIC,Polygon,0.8617755156111056
9248,KAVA,Kava,0.8950094709530966
2147,XTZ,Tezos,0.9597586057291450
9069,GUSD,Gemini Dollar,0.9710461885815658
1080,FEI,Fei Protocol,0.9787378151963749
7065,USDP,Pax Dollar,0.9921528078385888
5080,TUSD,TrueUSD,0.9937056091227588
8368,FRAX,Frax,0.9970994501064586
468,USDT,Tether,0.9985367939878163
6870,DAI,Multi Collateral DAI,0.9997664076967731
3472,USDC,USD Coin,0.9999381675317638
4365,BUSD,Binance USD,1.0003632354119635
9283,LDO,Lido DAO,1.0009885059054644
5658,RUNE,THORChain,1.0934786360995224
8171,FLOW,Flow,1.1409027946416696
8630,WEMIX,WEMIX,1.4232336172028240
9547,LUNA,Terra,1.5574874778762023
5108,SNX,Synthetix,1.5976797797787013
3786,NEAR,NEAR Protocol,1.8329948781097585
1014,ETH,Ethereum,1188.8816663550959295
955,AVAX,Avalanche,12.2762023154084014
5117,SOL,Solana,12.6373853261023029
6949,XMR,Monero,126.5651430674791470
7536,BTG,Bitcoin Gold,14.3471655310750064
1162,BNX,BinaryX,143.1582687671390639
3030,WBTC,Wrapped Bitcoin,16060.1409410549259387
7164,BTCB,Bitcoin BEP2,16128.5088339361673497
7071,BTC,Bitcoin,16129.7414891816699090
6783,OKB,OKB,17.4802238673433314
1005,PAXG,PAX Gold,1735.1322532202562504
1086,DCR,Decred,18.9892241217265201
5321,ETC,Ethereum Classic,19.2350353546881469
813,TWT,Trust Wallet Token,2.0857377985766176
1540,WAVES,Waves,2.1037228258215592
5253,HNT,Helium,2.3392528649710370
3467,BNB,BNB,269.6025273059181292
8390,GT,GateToken,3.5347533968526183
7795,ICP,Internet Computer,3.7519766362971347
9074,CAKE,PancakeSwap,3.8652859135213108
2476,LEO,UNUS SED LEO,3.8918231247090233
3802,DASH,Dash,32.6681496036936413
2694,COMP,Compound,36.2990207037355115
7874,BSV,Bitcoin SV,38.1159049087570947
2871,ZEC,Zcash,39.4779183769191897
9080,FIL,Filecoin,4.1619040774247212
8925,CVX,Convex Finance,4.2389290533520900
1937,HT,Huobi Token,4.4813570353642479
9829,EGLD,MultiversX (Elrond),42.0241709581783595
5244,BAL,Balancer,5.1042822034670696
5275,UNI,Uniswap,5.4883000409885177
8347,DOT,Polkadot,5.5512735198970631
7594,LINK,Chainlink,5.8196719734740127
3812,AAVE,Aave,54.4074100490716236
5281,LTC,Litecoin,55.9604544520689237
898,NEO,Neo,6.3402319294242274
536,MKR,Maker,670.0876903916527175
6679,AXS,Axie Infinity,7.3239396071270336
5777,KCS,KuCoin Token,7.6400935362287518
3723,AR,Arweave,8.5222055903991489
9380,GNO,Gnosis,87.1028766447212329
3855,ATOM,Cosmos,9.7545255993643589
2296,QNT,Quant,98.2917883248039779
534,BCH,Bitcoin Cash,98.4841009463275824
